source_index,target_index,source_entity,target_entity,type,count
C0029053,C1184146,opacity,basilar,located_at,3271
C0442739,silhouette,unchanged,silhouette,modify,3045
C0543467,C0175722,surgical,clips,modify,2913
interval,C0205217,interval,increase,modify,2878
C0185792,C0005978,sternotomy,wires,located_at,4256
C0024109,C0178499,lung,base,located_at,4201
soft,C0040300,soft,tissues,modify,2669
vena,C1413046,vena,cava,located_at,2652
C0443246,C0178499,left,base,modify,2652
C0442800,silhouette,enlarged,silhouette,modify,2706
C0238767,C0024109,both,lungs,modify,2602
C1282910,C0796494,upper,lobe,modify,2595
C0443246,C0796494,left,lobe,modify,2576
ap,C0449911,ap,view,modify,2566
C0085590,jugular,catheter,jugular,located_at,3442
C0043299,C0817096,x-ray,chest,located_at,2732
C0016658,C0035561,fractures,rib,located_at,2699
C1282910,C0225594,above,carina,modify,2501
C1282910,vena,superior,vena,modify,2487
C0392747,C0037949,changes,spine,located_at,2440
C0817096,C0677535,chest,wall,located_at,2477
blunting,C0205143,blunting,angle,located_at,2428
C0521530,C0024109,consolidation,lung,located_at,2454
C4299032,C1306645,portable,radiograph,modify,2382
C0029053,C0796494,opacity,lobe,located_at,2341
C0205360,silhouette,stable,silhouette,modify,2334
C1282910,C0015385,upper,extremity,modify,2296
C0205090,C0018792,right,atrium,modify,2278
C0817096,C0037949,thoracic,spine,located_at,2297
C0184511,aeration,improved,aeration,modify,2235
C0024109,C4068833,pulmonary,vascularity,located_at,2277
C0443246,C0205111,left,apical,modify,2172
C0238767,C0013687,bilateral,effusions,modify,2147
unremarkable,C0678594,unremarkable,structures,modify,2131
C0205090,C0796494,right,lobe,modify,2097
C0332152,C0582103,prior,examination,modify,2064
interval,C0392756,interval,decrease,modify,2067
C0205132,C0029053,linear,opacities,modify,2046
unremarkable,silhouette,unremarkable,silhouette,modify,2134
C1521721,C0025080,support,devices,modify,2040
C0015252,C0175730,removal,tube,located_at,1955
C0205090,C1184146,right,basilar,modify,1916
C0444598,C0024109,mid,lung,modify,1894
C0024109,C0003842,pulmonary,artery,located_at,1933
C0443246,costophrenic,left,costophrenic,modify,1887
C0439739,C0029053,reticular,opacities,modify,1878
C0205081,C0013687,moderate,effusion,modify,1844
normal,cardiomediastinal,normal,cardiomediastinal,modify,1825
C0443246,C0589488,left,subclavian,modify,1815
slightly,C0205217,slightly,increased,modify,1810
C0817096,C0003483,thoracic,aorta,modify,1815
C0029053,C0349707,opacities,aspiration,suggestive_of,1807
C0205360,C0700364,stable,appearance,modify,1798
postsurgical,C0392747,postsurgical,changes,modify,1788
C1282910,C0024109,upper,lung,modify,1762
normal,C0456389,normal,size,modify,1725
C0442739,C0175730,unchanged,tubes,modify,1789
C0443246,retrocardiac,left,retrocardiac,modify,1720
C4299032,C0817096,portable,chest,modify,1682
C0205090,C1269845,right,hemidiaphragm,modify,1673
C0205090,C0178499,right,base,modify,1644
C0029053,C0013604,opacities,edema,suggestive_of,1647
central,C0205132,central,line,modify,1642
C1547225,C0018800,mild,cardiomegaly,modify,1633
normal,silhouette,normal,silhouette,modify,1634
C0443246,C0934569,left,hemithorax,modify,1614
C1705504,C0225594,tip,carina,located_at,1610
interval,C0243107,interval,development,modify,1600
C0442800,C0018787,enlarged,heart,modify,1568
C0443315,C0013990,subcutaneous,emphysema,modify,1790
greater,C0443246,greater,left,modify,1576
large,C0013687,large,effusion,modify,1531
C0443246,C1269845,left,hemidiaphragm,modify,1530
C0442739,C0029053,unchanged,opacities,modify,1521
C0392756,C0449468,decreased,volumes,modify,1500
tortuous,C0003483,tortuous,aorta,modify,1479
C0199168,C0025080,medical,devices,modify,1478
C0205123,C1306645,frontal,radiograph,modify,1470
C0205090,C0934569,right,hemithorax,modify,1443
C0442739,C0013687,unchanged,effusion,modify,1446
C0439775,C1269845,elevation,hemidiaphragm,located_at,1428
C0205322,C0013687,persistent,effusion,modify,1424
C0205234,C0029053,focal,opacity,modify,1428
C0443246,C0035561,left,rib,modify,1423
C0442739,C0205132,unchanged,lines,modify,1477
diffuse,C0029053,diffuse,opacities,modify,1403
C0205400,C0032225,thickening,pleural,located_at,1701
C1705504,svc,tip,svc,located_at,1390
C1704258,C0032225,abnormalities,pleural,located_at,1453
C0205090,C0032326,right,pneumothorax,modify,1420
interval,C0184511,interval,improvement,modify,1385
C0205090,C0035561,right,rib,modify,1359
C0439739,C0449774,reticular,pattern,modify,1354
C0006663,C0003483,calcifications,aorta,located_at,1355
C0205360,C0175730,stable,tubes,modify,1343
C0175722,C0025066,clips,mediastinal,located_at,1668
significant,C1704258,significant,abnormalities,modify,1321
C0205090,C1282910,right,upper,modify,1343
C0205108,C1705504,distal,tip,modify,1425
C0029053,C0009450,opacities,infection,suggestive_of,1300
C0443246,C0032326,left,pneumothorax,modify,1310
C0442739,C0700364,unchanged,appearance,modify,1303
C0443246,C0441994,left,lower,modify,1302
C0004144,C0178499,atelectasis,base,located_at,1292
cavoatrial,C0205144,cavoatrial,junction,modify,1426
lateral,C1306645,lateral,radiographs,modify,1277
costophrenic,C0205143,costophrenic,angle,located_at,1348
normal,C0018787,normal,heart,modify,1243
C0205360,C0025080,stable,devices,modify,1250
C0205360,C0205132,stable,lines,modify,1234
C0205090,C0015385,right,extremity,modify,1211
C1282910,C1631280,upper,quadrant,modify,1208
C0205090,costophrenic,right,costophrenic,modify,1191
C0441587,C0085590,placement,catheter,located_at,1190
C0175730,C1705504,tube,tip,located_at,2088
C0205360,C0029053,stable,opacity,modify,1185
C0234621,C0678594,visualized,structures,modify,1181
C0032326,C0032225,pneumothorax,pleural,located_at,1175
C0205217,C0013687,increased,effusion,modify,1175
C0392756,C0456389,decrease,size,modify,1168
C0085590,ij,catheter,ij,located_at,1394
C0443246,jugular,left,jugular,modify,1146
C0521530,C0796494,consolidation,lobe,located_at,1166
C0029053,parenchymal,opacities,parenchymal,located_at,1262
C0205360,C0013687,stable,effusion,modify,1124
slightly,C0184511,slightly,improved,modify,1116
ap,C1306645,ap,radiograph,modify,1109
C0750532,C0442800,mildly,enlarged,modify,1106
blunting,C0013687,blunting,effusion,suggestive_of,1103
C0175730,C0225594,tube,carina,located_at,1096
C0205217,C0522501,increased,markings,modify,1169
C0522015,C1306645,upright,radiograph,modify,1082
C0205090,C0018827,right,ventricle,modify,1078
C0205360,C0018800,stable,cardiomegaly,modify,1074
C0179740C0205132,C0179740,picc line,picc,modify,2142
C0443246,ij,left,ij,modify,1069
C0443246,C0013687,left,effusion,modify,1078
pigtail,C0085590,pigtail,catheter,modify,1061
C0238767,C0029053,bilateral,opacities,modify,1060
C0205277,C0013687,loculated,effusion,modify,1042
ng,C0175730,ng,tube,modify,1040
tiny,C0032326,tiny,pneumothorax,modify,1039
C0439794,C0029053,dense,opacity,modify,1038
C0205360,cardiomediastinal,stable,cardiomediastinal,modify,1035
C0522015,C0449911,upright,view,modify,1027
C0025066,C0180499,mediastinal,drain,located_at,1934
C0205217,C0456389,increased,size,modify,1022
C0004144,C0024109,atelectasis,lung,located_at,1034
C0549183,C0040578,midline,trachea,modify,1021
C0205090,C0589488,right,subclavian,modify,1011
slightly,C0392756,slightly,decreased,modify,1009
C0441587,C0175730,placement,tube,located_at,1013
C0442822,C0013687,trace,effusion,modify,999
C0004144,C0796494,atelectasis,lobe,located_at,1002
C0933845,C0024109,parenchyma,lung,located_at,1254
greater,C0205090,greater,right,modify,1054
lateral,C0817096,lateral,chest,modify,963
C0205171,C1306645,single,radiograph,modify,961
jugular,C0042449,jugular,vein,located_at,1107
new,C0029053,new,opacity,modify,947
prosthetic,C0184252,prosthetic,valve,modify,947
C0392756,C0013687,decrease,effusion,modify,944
C0443246,C1282910,left,upper,modify,949
aeration,C0178499,aeration,base,located_at,937
previously,noted,previously,noted,modify,934
C1705504,cavoatrial,tip,cavoatrial,located_at,925
C0441994,C0817096,lower,thoracic,modify,923
C1282910,C0439801,upper,limits,modify,923
C0205297,C0029053,nodular,opacity,modify,921
C1705504,C0018792,tip,atrium,located_at,917
C1547225,C0029053,mild,opacities,modify,913
C1705504,C0205144,tip,junction,located_at,911
C0234621,C0262950,visualized,osseous,modify,912
C0205132,ij,line,ij,located_at,1059
C0205081,C0013604,moderate,edema,modify,903
C0443246,C0015385,left,extremity,modify,901
C0205090,C0179740,right,picc,modify,900
C0199168,C1521721,medical,support,modify,1122
C0013604,C0596790,edema,interstitial,located_at,1639
C0522501,C0024109,markings,lung,located_at,957
C0205090,C0444598,right,mid,modify,916
C0024109,C1710706,lung,zone,located_at,1559
C0443246,C0029053,left,opacities,modify,934
C0025066,silhouette,mediastinal,silhouette,located_at,1078
C0205081,C0018800,moderate,cardiomegaly,modify,868
C1282910,C0025066,superior,mediastinum,modify,862
C0028259,C0024109,nodules,pulmonary,located_at,939
C0029053,C0032285,opacity,pneumonia,suggestive_of,857
C0003483,C0184252,aortic,valve,located_at,1044
C0238767,C0178499,bilateral,bases,modify,851
C1282910,C0000726,upper,abdomen,modify,851
two,C0449911,two,views,modify,847
C0456389,C0013687,size,effusion,modify,903
C0549207,C0242821,vertebral,body,located_at,872
C0443246,C0179740,left,picc,modify,844
C0179740C0205132,C0015385,picc line,extremity,located_at,843
C0439739,C0522501,reticular,markings,modify,841
C0029053,perihilar,opacities,perihilar,located_at,1038
unremarkable,C0262950,unremarkable,bones,modify,837
C0179740,C0015385,picc,extremity,located_at,899
C0333482,C0006663,atherosclerotic,calcifications,modify,835
retrocardiac,C0017446,retrocardiac,region,located_at,850
C0205090,C0441994,right,lower,modify,841
C0205090,C0205102,right,internal,modify,823
clear,C0933845,clear,parenchyma,modify,819
C0184511,C0013604,improved,edema,modify,844
C0032326,C0024109,pneumothorax,pulmonary,located_at,807
C0449584,C0024109,opacification,lung,located_at,801
C0205322,C0032326,persistent,pneumothorax,modify,801
C1705504,C0085590,tip,catheter,located_at,1522
C0003483,C0230467,aortic,arch,modify,826
pa,C0449911,pa,views,modify,798
C0444598,C0796494,middle,lobe,modify,793
C0542339,C0205284,inferior,margin,modify,790
C1542147,C0024109,main,pulmonary,modify,786
C0029053,C1883067,opacities,space,located_at,791
C0001861,C1883067,air,space,located_at,819
C0205132,C0015385,line,extremity,located_at,811
compressive,C0004144,compressive,atelectasis,modify,762
C0439064,C0175722,multiple,clips,modify,757
C0521530,C0032225,consolidation,pleural,located_at,754
pa,C1306645,pa,radiographs,modify,753
C0205322,C0013604,persistent,edema,modify,748
definite,C0032326,definite,pneumothorax,modify,747
C0205090,C0013687,right,effusions,modify,768
C0184511,C0029053,improved,opacities,modify,747
aeration,C0024109,aeration,lung,located_at,755
C0180499,C0032225,drain,pleural,located_at,1373
C0205217,C0013604,increase,edema,modify,743
C0205090,midlung,right,midlung,modify,741
C0442739,C0025080,unchanged,devices,modify,772
C0302908,C0032225,fluid,pleural,located_at,1329
C0934502,C0013687,layering,effusion,modify,730
C0442808,C0029053,increasing,opacity,modify,729
C0332464,C0025066,widening,mediastinum,located_at,733
redemonstration,C0029053,redemonstration,opacities,modify,726
significant,C0013687,significant,effusions,modify,723
C0332152,C0947630,prior,study,modify,719
C0205132,jugular,line,jugular,located_at,1358
C0004144,C1184146,atelectasis,basilar,located_at,794
C0444598,svc,mid,svc,modify,713
normal,C0876954,normal,contours,modify,714
hazy,C0029053,hazy,opacity,modify,710
shift,C0025066,shift,mediastinal,located_at,944
C0449774,C0024109,pattern,lungs,located_at,703
C0005978,C0038293,wires,sternal,located_at,1054
C0205081,C0456389,moderate,size,modify,701
C0449468,C1517945,volume,loss,modify,826
C0012634,airspace,disease,airspace,located_at,713
C0032790,C0392747,postoperative,changes,modify,688
C0038846,C1306645,supine,radiograph,modify,686
significant,interval,significant,interval,modify,688
C0038846,C0449911,supine,view,modify,682
et,C0175730,et,tube,modify,682
C0085590,C0589488,catheter,subclavian,located_at,894
small,C1265611,small,amount,modify,667
C0004144,bibasilar,atelectasis,bibasilar,located_at,1062
C0439064,C0016658,multiple,fractures,modify,663
C1547225,prominence,mild,prominence,modify,662
lead,C0810633,lead,pacemaker,located_at,690
C0018787,C0025066,cardiac,mediastinal,modify,663
C1521721,C1523994,support,equipment,modify,656
C0205266,C0005978,intact,wires,modify,657
C0040590,C0175730,tracheostomy,tube,modify,676
C0449584,C0178499,opacification,base,located_at,652
grossly,unremarkable,grossly,unremarkable,modify,651
C0443246,sided,left,sided,modify,646
grossly,C0442739,grossly,unchanged,modify,639
diffuse,C0449774,diffuse,pattern,modify,635
C0392756,C0013604,decreased,edema,modify,633
C1304890,C0175730,enteric,tube,modify,639
C0010383,C0005847,crowding,vasculature,modify,670
C0205090,C0029053,right,opacities,modify,733
C0205322,C0449468,persistent,volumes,modify,626
C0205379,C0032326,visible,pneumothorax,modify,627
costophrenic,sulci,costophrenic,sulci,located_at,624
C0205095,C0035561,posterior,rib,modify,618
C0442739,C0456389,unchanged,size,modify,613
C0449774,C0013604,pattern,edema,suggestive_of,618
C0029053,C0008767,opacities,scarring,suggestive_of,612
C0184511,C0449468,improved,volumes,modify,607
C0876954,C0025066,contours,mediastinal,located_at,1165
unremarkable,C0040300,unremarkable,tissues,modify,615
C0542339,C0225594,below,carina,modify,604
C0175730,C0038351,tube,stomach,located_at,617
C0442739,C0085590,unchanged,catheter,modify,602
prominence,C0005847,prominence,vasculature,located_at,660
dual,lead,dual,lead,modify,600
C0000768,C0035561,deformities,rib,located_at,610
prominence,C0013604,prominence,edema,suggestive_of,599
C0444598,C0817096,mid,thoracic,modify,593
C0442739,C0018800,unchanged,cardiomegaly,modify,611
similar,C0700364,similar,appearance,modify,590
C0020564,silhouette,enlargement,silhouette,located_at,598
C0180499,C0817096,drains,thoracic,located_at,912
C0042449,C0205132,venous,line,located_at,617
C0547040,C0029053,minimal,opacities,modify,579
tortuosity,C0003483,tortuosity,aorta,located_at,574
C0029053,midlung,opacity,midlung,located_at,567
C0006663,C0230467,calcification,arch,located_at,567
C0015252,C0085590,removal,catheter,located_at,565
C0238767,C0817096,bilateral,chest,modify,564
new,C0521530,new,consolidation,modify,562
C1547225,C0004144,mild,atelectasis,modify,562
C0449438,C0687676,status,post,modify,799
C0205217,C0449584,increased,opacification,modify,563
C0205090,C1631280,right,quadrant,modify,561
ap,C0817096,ap,chest,modify,560
projecting,C1705504,projecting,tip,modify,555
old,C0016658,old,fracture,modify,555
C0205386,C0003483,descending,aorta,modify,553
C0011945,C0085590,dialysis,catheter,modify,570
C0392747,C0817096,changes,chest,located_at,552
interval,C0021925,interval,intubation,modify,561
C0205132,C0004144,linear,atelectasis,modify,549
C0522501,C0596790,markings,interstitial,located_at,1023
C0439801,C0220825,limited,evaluation,modify,556
semiupright,C0449911,semiupright,view,modify,547
C0205200,C0029053,confluent,opacity,modify,547
C0205090,sided,right,sided,modify,546
C0449584,C0004144,opacification,atelectasis,suggestive_of,545
C1705504,C0038351,tip,stomach,located_at,544
C0332459,C0000768,compression,deformities,modify,544
C0443246,midlung,left,midlung,modify,543
interval,C0553891,interval,extubation,modify,542
C0542339,C0011980,below,diaphragm,located_at,536
C0205090,arm,right,arm,modify,534
C0012634,C0024109,disease,lung,located_at,541
C0441889,C0225594,level,carina,located_at,551
C0700124,C0003483,ectatic,aorta,modify,531
C1282910,C0817096,upper,chest,modify,527
C0205090,C0140145,right,apex,modify,526
C0521530,C1184146,consolidation,basilar,located_at,549
C0817096,C0549207,thoracic,vertebral,located_at,528
C0332271,C0029053,worsening,opacities,modify,524
C0205090,C0004454,right,axilla,modify,521
normal,C4068833,normal,vascularity,modify,516
C1547225,C0392747,mild,changes,modify,515
brachiocephalic,C0042449,brachiocephalic,vein,located_at,520
C0547040,C0004144,minimal,atelectasis,modify,512
multilevel,C0392747,multilevel,changes,modify,512
C0205132,C1705504,line,tip,located_at,780
C0522501,C0013604,markings,edema,suggestive_of,498
C0205360,C0392747,stable,changes,modify,495
C0029053,C1710706,opacity,zone,located_at,508
obtained,C0449911,obtained,view,modify,488
C0392747,C0037004,changes,shoulders,located_at,488
interval,C1514893,interval,resolution,modify,487
C0700148,C0005847,congestion,vascular,located_at,492
C0012727,C0016658,displaced,fractures,modify,482
semierect,C1306645,semierect,radiograph,modify,481
C0521530,airspace,consolidation,airspace,located_at,490
prominent,silhouette,prominent,silhouette,modify,476
C0015252,C0180499,removal,drain,located_at,475
C0332271,C0013604,worsening,edema,modify,472
C0227952,jugular,sheath,jugular,located_at,536
C0442739,C0013604,unchanged,edema,modify,514
C0205090,C0929176,right,hilum,modify,471
C0175722,C1631280,clips,quadrant,located_at,470
subsequent,C1306645,subsequent,radiograph,modify,467
pigtail,C0180499,pigtail,drain,modify,472
tunneled,C0085590,tunneled,catheter,modify,465
C0175722,C0004454,clips,axilla,located_at,667
C1282910,C1710706,upper,zone,modify,462
subsegmental,C0004144,subsegmental,atelectasis,modify,465
C1705504,C1282910,tip,superior,located_at,521
C0443246,C0004454,left,axilla,modify,460
C0521530,C0178499,consolidation,base,located_at,465
C1705504,C0003842,tip,artery,located_at,452
C0733755,C0175730,position,tubes,located_at,739
C0026193,C0332469,minor,fissure,modify,449
C0205250,C1269845,elevated,hemidiaphragm,modify,483
C0443246,C0179740C0205132,left,picc line,modify,446
C0449584,C0934569,opacification,hemithorax,located_at,445
C0392756,C0029053,decreased,opacities,modify,444
new,C0013687,new,effusion,modify,441
C0596790,C0024109,interstitial,pulmonary,modify,495
C0547040,blunting,minimal,blunting,modify,440
C0443157,C0678594,bony,structures,modify,467
C0444598,C1282910,mid,superior,modify,438
C0205171,lead,single,lead,modify,434
C0687676,C0543467,post,surgical,modify,434
C1704258,soft,abnormalities,soft,located_at,433
C0392747,C0582103,change,examination,located_at,435
C1547225,blunting,mild,blunting,modify,432
C0205132,arm,line,arm,located_at,429
C0392747,C0022417,changes,joints,located_at,425
redemonstration,C0013687,redemonstration,effusion,modify,424
C0205322,C0449584,persistent,opacification,modify,421
C0238767,costophrenic,bilateral,costophrenic,modify,421
C0018787,C0205284,heart,border,located_at,458
indistinctness,C0005847,indistinctness,vasculature,modify,433
C0033204,C0013687,probable,effusion,modify,417
C0205360,C0085590,stable,catheter,modify,416
C0589488,C0205132,subclavian,line,located_at,798
prominent,C0522501,prominent,markings,modify,415
C0005847,C0522501,vascular,markings,located_at,544
C0029053,C0013687,opacity,effusion,suggestive_of,421
C0179740C0205132,arm,picc line,arm,located_at,408
terminating,C1705504,terminating,tip,modify,473
C0600644,C0032225,collections,pleural,located_at,423
pa,C0817096,pa,chest,located_at,405
costophrenic,C1184482,costophrenic,sulcus,located_at,403
C0205123,C0043299,frontal,x-ray,modify,403
indistinct,C0005847,indistinct,vessels,modify,403
C0205090,lateral,right,lateral,modify,406
C0205090,C0020164,right,humeral,modify,400
partially,C0234621,partially,visualized,modify,399
sharp,sulci,sharp,sulci,modify,399
C0449584,retrocardiac,opacification,retrocardiac,located_at,414
semierect,C0449911,semierect,view,modify,399
C0750532,prominent,mildly,prominent,modify,398
streaky,C0029053,streaky,opacities,modify,398
sided,C0032225,sided,pleural,modify,397
C0439801,C0456389,limits,size,modify,669
C0543467,C0392747,surgical,changes,modify,399
bilaterally,C0029053,bilaterally,opacities,modify,401
lateral,C0035561,lateral,rib,modify,396
C0205413,C0521530,patchy,consolidation,modify,396
blunting,C1184482,blunting,sulcus,located_at,395
C0456389,C0032326,size,pneumothorax,modify,464
C0439064,C0005978,multiple,wires,modify,395
C0175895,C0003483,calcified,aorta,modify,394
possible,C0013687,possible,effusion,modify,393
clear,fields,clear,fields,modify,392
C0443246,C0444598,left,mid,modify,401
semiupright,C1306645,semiupright,radiograph,modify,391
C0205234,C0332448,focal,infiltrate,modify,391
C0205094,C0817096,anterior,chest,modify,391
midlung,C1710706,midlung,zone,located_at,528
C0589488,C0042449,subclavian,vein,located_at,524
removed,C0175730,removed,tube,modify,474
C0592511,C0085590,epidural,catheter,located_at,617
C0205090,C0008913,right,clavicle,modify,388
C0205234,consolidations,focal,consolidations,modify,386
jugular,central,jugular,central,located_at,390
prominent,C0005847,prominent,vasculature,modify,382
C0443246,pleuraleffusion,left,pleuraleffusion,modify,381
C0442808,C0013687,increasing,effusion,modify,381
C0456389,silhouette,size,silhouette,located_at,534
diffuse,C0029453,diffuse,osteopenia,modify,380
new,C0175730,new,tube,modify,379
C0020164,C0018670,humeral,head,located_at,388
C0443246,C0018827,left,ventricular,modify,379
C0444598,C1710706,mid,zone,modify,378
C0205217,C0449468,increased,volumes,modify,381
C0439794,C0521530,dense,consolidation,modify,375
C0449584,C0796494,opacification,lobe,located_at,375
C0332152,C1306645,prior,radiograph,modify,374
C0205111,C0032225,apical,pleural,located_at,376
C0392747,C0024109,changes,lung,located_at,370
definite,C0013687,definite,effusion,modify,367
C0205251,lungvolumes,low,lungvolumes,modify,366
C0443246,C0140145,left,apex,modify,365
new,C0085590,new,catheter,modify,365
C0205360,C0013604,stable,edema,modify,365
C0443246,arm,left,arm,modify,365
fields,C0024109,fields,lung,located_at,571
C0004144,retrocardiac,atelectasis,retrocardiac,located_at,365
C0443246,C0008913,left,clavicle,modify,363
C0205217,C0178587,increased,density,modify,362
diffuse,C0522501,diffuse,markings,modify,360
C1522577,C0817096,follow-up,chest,modify,359
side,C0475311,side,port,modify,362
C0005910,C0204695,weighted,feeding,modify,356
leads,C0018827,leads,ventricle,located_at,355
sixth,C0035561,sixth,rib,modify,354
C0205090,perihilar,right,perihilar,modify,354
C0332448,C0024109,infiltrates,lungs,located_at,358
C0205090,C0179740C0205132,right,picc line,modify,353
C0205217,prominence,increased,prominence,modify,354
C0442739,C0005978,unchanged,wires,modify,352
C0521530,retrocardiac,consolidation,retrocardiac,located_at,358
C0443246,C0018787,left,heart,modify,349
central,C0024109,central,pulmonary,modify,348
C0443246,C1631280,left,quadrant,modify,348
C0205322,C0018800,persistent,cardiomegaly,modify,348
two,C0175730,two,tubes,modify,346
very,C0205251,very,low,modify,344
fifth,C0035561,fifth,rib,modify,343
C0016658,C0008913,fracture,clavicle,located_at,380
C0205090,C0018787,right,heart,modify,342
C0018787,C0810633,cardiac,pacemaker,located_at,644
C0205161,C0029053,abnormal,opacities,modify,342
C0205090,C0037004,right,shoulder,modify,342
seventh,C0035561,seventh,rib,modify,341
C1282910,C0441889,above,level,located_at,340
C0444598,zones,mid,zones,modify,340
redemonstration,C0018800,redemonstration,cardiomegaly,modify,339
C0810633,C0817096,pacemaker,chest,located_at,349
previously,seen,previously,seen,modify,337
C1609982,C0032326,residual,pneumothorax,modify,339
unremarkable,C0005847,unremarkable,vasculature,modify,337
interval,C0332271,interval,worsening,modify,338
C0205178,C2607943,acute,findings,modify,336
withinnormal,C0439801,withinnormal,limits,modify,335
C0205413,C0449584,patchy,opacification,modify,334
satisfactory,C0733755,satisfactory,position,modify,334
C0175730,C0011980,tube,diaphragm,located_at,333
C0205360,C0032326,stable,pneumothorax,modify,332
C1523994,C0521329,hardware,spinal,located_at,342
C0205360,C0456389,stable,size,modify,331
C0205194,C0029053,coarse,opacities,modify,329
C0238767,C0037004,bilateral,shoulders,modify,328
C0443246,lateral,left,lateral,modify,327
C0175730et,C0175730,et tube,tube,modify,326
C0017110,C0012359,gaseous,distention,modify,327
C0442016,C0562458,epicardial,pacing,located_at,385
C1521721,C0205132,supporting,lines,modify,325
sharp,C0205143,sharp,angles,modify,325
C1705504,C0179740C0205132,tip,picc line,located_at,408
subsequent,C0449911,subsequent,view,modify,323
C0205249,C0016658,healed,fractures,modify,322
C0562458,C0005978,pacing,wires,modify,322
C0175722,C0000726,clips,abdomen,located_at,323
sided,C0817096,sided,chest,modify,322
C0227952,ij,sheath,ij,located_at,384
C0750532,C0205217,mildly,increased,modify,320
associated,C0013687,associated,effusion,modify,320
C0032326,C0817096,pneumothorax,chest,located_at,319
redemonstration,C0392747,redemonstration,changes,modify,319
C0205297,C0178587,nodular,density,modify,319
C0332152,C0185792,prior,sternotomy,modify,319
C0302908,C0332469,fluid,fissure,located_at,318
C0029053,C0017446,opacity,region,located_at,333
C0205360,C0005978,stable,wires,modify,318
C0001861,C0006282,air,bronchograms,located_at,401
C0441587,jugular,placement,jugular,located_at,318
C0205095,costophrenic,posterior,costophrenic,modify,317
follow,up,follow,up,modify,316
C0205322,C0521530,persistent,consolidation,modify,316
small,pleuraleffusion,small,pleuraleffusion,modify,315
likely,C0013687,likely,effusion,modify,314
leads,C0018792,leads,atrium,located_at,316
C1522577,C1306645,follow-up,radiograph,modify,313
C0038969,C0520510,suture,material,located_at,328
remainder,C0024109,remainder,lungs,modify,311
C0024109,zones,lung,zones,located_at,472
C0442739,C0032326,unchanged,pneumothorax,modify,317
ij,C0042449,ij,venous,modify,441
prominence,C0596790,prominence,interstitial,located_at,477
C0332152,C0040405,prior,ct,modify,307
C0733755,C0205132,position,lines,located_at,600
